transaction_id,customer_id,amount,payment_method,transaction_date,status,failure_reason,checkout_time_seconds,previous_transactions,previous_successes,previous_failures,customer_lifetime_value
TXN000001,C1127,11445.67,Debit Card,2026-01-01 00:00:00.000000,Success,,105,17,9,8,6998.09
TXN000002,C1460,12102.23,Net Banking,2026-01-01 00:34:16.525652,Success,,469,22,3,19,119948.99
TXN000003,C0861,18968.64,UPI,2026-01-01 01:08:33.051305,Success,,269,13,1,12,106968.9
TXN000004,C1295,7119.77,Credit Card,2026-01-01 01:42:49.576957,Success,,82,17,16,1,124816.78
TXN000005,C1131,8019.19,Credit Card,2026-01-01 02:17:06.102610,Success,,340,24,20,4,101642.47
TXN000006,C1096,23123.58,UPI,2026-01-01 02:51:22.628262,Failed,Bank Timeout,58,21,12,9,112776.33
TXN000007,C1725,1499.98,Credit Card,2026-01-01 03:25:39.153915,Abandoned,Checkout Abandoned,231,11,7,4,57166.24
TXN000008,C1045,12192.29,Credit Card,2026-01-01 03:59:55.679567,Failed,Bank Timeout,374,11,7,4,88732.56
TXN000009,C1639,22828.74,UPI,2026-01-01 04:34:12.205220,Success,,803,4,3,1,120906.16
TXN000010,C0122,15298.04,UPI,2026-01-01 05:08:28.730873,Failed,Card Declined,514,6,4,2,26231.57
TXN000011,C0467,13705.54,Credit Card,2026-01-01 05:42:45.256525,Abandoned,Checkout Abandoned,41,25,25,0,63712.03
TXN000012,C1239,6318.63,Credit Card,2026-01-01 06:17:01.782178,Success,,549,23,17,6,111203.22
TXN000013,C0331,8647.56,Net Banking,2026-01-01 06:51:18.307830,Success,,828,12,5,7,80129.17
TXN000014,C1483,21316.01,UPI,2026-01-01 07:25:34.833483,Success,,689,8,6,2,102407.79
TXN000015,C0088,14024.53,UPI,2026-01-01 07:59:51.359135,Success,,46,5,1,4,44283.94
TXN000016,C1397,12917.08,Wallet,2026-01-01 08:34:07.884788,Abandoned,Checkout Abandoned,755,20,16,4,5335.2
TXN000017,C1124,2579.53,Net Banking,2026-01-01 09:08:24.410441,Success,,188,6,4,2,4857.29
TXN000018,C0872,499.1,UPI,2026-01-01 09:42:40.936093,Success,,66,17,7,10,141445.79
