transaction_id,customer_id,amount,payment_method,transaction_date,status,failure_reason,checkout_time_seconds,previous_transactions,previous_successes,previous_failures,customer_lifetime_value,previous_success_rate
TXN000001,C1127,11445.67,Debit Card,2026-01-01 00:00:00.000000,Success,,105,6,1,5,109136.71,0.16666666666666666
TXN000002,C1460,12102.23,Net Banking,2026-01-01 00:34:16.525652,Success,,469,7,3,4,50485.26,0.42857142857142855
TXN000003,C0861,18968.64,UPI,2026-01-01 01:08:33.051305,Success,,269,2,2,0,106698.33,1.0
TXN000004,C1295,7119.77,Credit Card,2026-01-01 01:42:49.576957,Success,,82,7,6,1,72707.82,0.8571428571428571
TXN000005,C1131,8019.19,Credit Card,2026-01-01 02:17:06.102610,Success,,340,10,7,3,83066.81,0.7
TXN000006,C1096,23123.58,UPI,2026-01-01 02:51:22.628262,Failed,Bank Timeout,58,12,6,6,121407.86,0.5
TXN000007,C1725,1499.98,Credit Card,2026-01-01 03:25:39.153915,Abandoned,Checkout Abandoned,231,18,11,7,45114.99,0.6111111111111112
TXN000008,C1045,12192.29,Credit Card,2026-01-01 03:59:55.679567,Failed,Bank Timeout,374,8,7,1,92977.81,0.875
TXN000009,C1639,22828.74,UPI,2026-01-01 04:34:12.205220,Success,,803,9,6,3,72244.06,0.6666666666666666
TXN000010,C0122,15298.04,UPI,2026-01-01 05:08:28.730873,Failed,Card Declined,514,4,0,4,55652.6,0.0
TXN000011,C0467,13705.54,Credit Card,2026-01-01 05:42:45.256525,Abandoned,Checkout Abandoned,41,3,2,1,136561.24,0.6666666666666666
TXN000012,C1239,6318.63,Credit Card,2026-01-01 06:17:01.782178,Success,,549,14,6,8,51329.81,0.42857142857142855
TXN000013,C0331,8647.56,Net Banking,2026-01-01 06:51:18.307830,Success,,828,17,13,4,82146.92,0.7647058823529411
TXN000014,C1483,21316.01,UPI,2026-01-01 07:25:34.833483,Success,,689,6,2,4,13117.08,0.3333333333333333
TXN000015,C0088,14024.53,UPI,2026-01-01 07:59:51.359135,Success,,46,21,4,17,98066.37,0.19047619047619047
TXN000016,C1397,12917.08,Wallet,2026-01-01 08:34:07.884788,Abandoned,Checkout Abandoned,755,27,12,15,110263.09,0.4444444444444444
TXN000017,C1124,2579.53,Net Banking,2026-01-01 09:08:24.410441,Success,,188,4,1,3,36394.67,0.25
TXN000018,C0872,499.1,UPI,2026-01-01 09:42:40.936093,Success,,66,14,9,5,9316.04,0.6428571428571429
TXN000019,C1688,24095.76,Debit Card,2026-01-01 10:16:57.461746,Success,,754,21,9,12,80258.07,0.42857142857142855
TXN000020,C0131,9486.96,UPI,2026-01-01 10:51:13.987398,Success,,345,19,15,4,130679.89,0.7894736842105263
TXN000021,C1686,15120.01,UPI,2026-01-01 11:25:30.513051,Success,,505,15,14,1,103059.28,0.9333333333333333
TXN000022,C1333,2084.91,UPI,2026-01-01 11:59:47.038703,Abandoned,Checkout Abandoned,593,11,0,11,119529.2,0.0
TXN000023,C0770,17109.55,UPI,2026-01-01 12:34:03.564356,Success,,204,10,5,5,85343.85,0.5
TXN000024,C0344,23320.91,Net Banking,2026-01-01 13:08:20.090009,Failed,Insufficient Balance,12,22,7,15,136540.63,0.3181818181818182
TXN000025,C1516,14434.06,Debit Card,2026-01-01 13:42:36.615661,Success,,211,15,5,10,49562.39,0.3333333333333333
TXN000026,C1438,3240.27,Wallet,2026-01-01 14:16:53.141314,Success,,200,30,11,19,31835.11,0.36666666666666664
TXN000027,C0806,14584.87,Debit Card,2026-01-01 14:51:09.666966,Success,,216,17,0,17,79830.22,0.0
TXN000028,C0386,19182.05,UPI,2026-01-01 15:25:26.192619,Failed,Insufficient Balance,120,3,1,2,12776.08,0.3333333333333333
TXN000029,C1216,10219.77,Debit Card,2026-01-01 15:59:42.718271,Success,,356,16,12,4,45224.63,0.75
TXN000030,C0956,22007.96,Wallet,2026-01-01 16:33:59.243924,Success,,515,9,7,2,118993.35,0.7777777777777778
TXN000031,C0277,16252.21,Debit Card,2026-01-01 17:08:15.769576,Success,,572,17,17,0,119056.87,1.0
TXN000032,C1185,22491.3,Debit Card,2026-01-01 17:42:32.295229,Abandoned,Checkout Abandoned,759,26,7,19,138075.65,0.2692307692307692
TXN000033,C0460,15625.28,Wallet,2026-01-01 18:16:48.820882,Success,,143,22,18,4,142729.1,0.8181818181818182
TXN000034,C1338,3369.07,UPI,2026-01-01 18:51:05.346534,Success,,290,10,0,10,68069.18,0.0
TXN000035,C0022,7811.32,Debit Card,2026-01-01 19:25:21.872187,Success,,235,28,11,17,77876.69,0.39285714285714285
TXN000036,C0253,5124.69,Net Banking,2026-01-01 19:59:38.397839,Success,,547,18,14,4,147482.12,0.7777777777777778
TXN000037,C0748,22729.78,Wallet,2026-01-01 20:33:54.923492,Failed,Insufficient Balance,225,12,2,10,113579.0,0.16666666666666666
TXN000038,C0857,19033.96,UPI,2026-01-01 21:08:11.449144,Abandoned,Checkout Abandoned,601,24,16,8,79051.41,0.6666666666666666
TXN000039,C1585,16942.32,Credit Card,2026-01-01 21:42:27.974797,Success,,301,11,9,2,126946.44,0.8181818181818182
TXN000040,C0475,7594.06,Debit Card,2026-01-01 22:16:44.500450,Abandoned,Checkout Abandoned,30,5,2,3,11067.29,0.4
TXN000041,C1083,4682.71,UPI,2026-01-01 22:51:01.026102,Failed,Bank Timeout,231,6,4,2,113117.67,0.6666666666666666
TXN000042,C0511,18935.63,Credit Card,2026-01-01 23:25:17.551755,Success,,570,5,0,5,36155.58,0.0
TXN000043,C1706,11906.53,UPI,2026-01-01 23:59:34.077407,Abandoned,Checkout Abandoned,349,25,23,2,39615.01,0.92
TXN000044,C1500,5722.16,UPI,2026-01-02 00:33:50.603060,Success,,383,13,5,8,135229.32,0.38461538461538464
TXN000045,C0700,15453.89,UPI,2026-01-02 01:08:07.128712,Success,,581,20,10,10,88703.12,0.5
TXN000046,C0976,1104.31,Credit Card,2026-01-02 01:42:23.654365,Success,,883,20,10,10,67307.89,0.5
TXN000047,C1807,8221.64,UPI,2026-01-02 02:16:40.180018,Success,,763,26,26,0,66278.38,1.0
TXN000048,C0190,11767.07,Credit Card,2026-01-02 02:50:56.705670,Success,,455,14,9,5,118277.69,0.6428571428571429
TXN000049,C0958,3784.16,UPI,2026-01-02 03:25:13.231323,Success,,388,25,17,8,148220.11,0.68
TXN000050,C0687,24617.9,UPI,2026-01-02 03:59:29.756975,Failed,Technical Error,540,25,18,7,106171.63,0.72
TXN000051,C0958,5306.52,UPI,2026-01-02 04:33:46.282628,Failed,Bank Timeout,404,25,17,8,148220.11,0.68
TXN000052,C0563,3345.79,UPI,2026-01-02 05:08:02.808280,Success,,599,17,1,16,147117.14,0.058823529411764705
TXN000053,C1900,5168.02,Credit Card,2026-01-02 05:42:19.333933,Abandoned,Checkout Abandoned,365,28,11,17,104179.39,0.39285714285714285
TXN000054,C1591,19249.62,Debit Card,2026-01-02 06:16:35.859585,Success,,652,12,4,8,60032.34,0.3333333333333333
TXN000055,C1268,10695.09,UPI,2026-01-02 06:50:52.385238,Success,,450,25,22,3,21722.95,0.88
TXN000056,C0832,14178.86,UPI,2026-01-02 07:25:08.910891,Success,,223,7,7,0,113838.78,1.0
TXN000057,C1529,623.13,Debit Card,2026-01-02 07:59:25.436543,Success,,137,18,17,1,103533.41,0.9444444444444444
TXN000058,C1155,957.34,UPI,2026-01-02 08:33:41.962196,Success,,521,19,5,14,106423.61,0.2631578947368421
TXN000059,C1509,11201.06,Wallet,2026-01-02 09:07:58.487848,Success,,628,2,2,0,65842.11,1.0
TXN000060,C1843,20434.72,Debit Card,2026-01-02 09:42:15.013501,Failed,Technical Error,462,16,11,5,122805.77,0.6875
TXN000061,C0647,22142.45,UPI,2026-01-02 10:16:31.539153,Abandoned,Checkout Abandoned,702,6,2,4,125300.99,0.3333333333333333
TXN000062,C0021,2258.99,UPI,2026-01-02 10:50:48.064806,Failed,Network Error,715,7,4,3,91574.8,0.5714285714285714
